model,mean_total_seconds,std_seconds,seconds_per_example,examples_per_second
TF-IDF + Logistic Regression,0.03943049339995923,0.00042505253199556385,1.1157468421041095e-05,89626.06590166721
Vanilla RNN,0.14891944360006165,0.0021716357592567862,4.213906157330551e-05,23730.95087227775
BiLSTM,0.2166762398001083,0.0029595096610928085,6.131189581214157e-05,16310.048592592539
DistilBERT,1.8987932372001524,0.014582875212492739,0.0005372929363894036,1861.1821080693474
