model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
DistilBERT,0.7925863044708545,0.7951624819530682,0.7986330381615966,0.7961816679926299,0.7938237531308697,0.7925863044708545,0.7925586106932728
TF-IDF + Logistic Regression,0.6972269383135258,0.7069369330554749,0.6939492662067459,0.6991304040462264,0.7014786227344202,0.6972269383135258,0.6979799511400528
BiLSTM,0.6621392190152802,0.6713564135893636,0.6582838738777089,0.6633758491031337,0.6659092198288191,0.6621392190152802,0.6625486394643174
Vanilla RNN,0.3737973967176004,0.24584364452979643,0.3430311906286521,0.2864156397759554,0.2680699370439861,0.3737973967176004,0.312224057838911
